_c0,userId,gender,n_pages,submit_downgrade,thumbs_down,home,downgrade,roll_advert,cancellation,about,submit_registration,cancel,login,register,add_playlist,nextsong,thumbs_up,error,submit_upgrade,total_length,label
0,1679072,1,1772,1,13,60,12,19,0,2,0,0,0,0,47,1460,81,0,1,356609,1
1,1141231,1,6191,2,54,211,62,34,0,15,0,0,0,0,133,5178,270,5,2,1277780,1
2,1163054,1,1063,0,6,28,7,17,1,3,0,1,0,0,16,900,40,0,1,223583,0
3,1585825,1,1217,1,14,56,8,20,0,4,0,0,0,0,29,982,46,2,2,244439,1
4,1367398,1,1681,0,14,53,8,40,0,6,0,0,0,0,37,1363,90,2,1,334897,0
5,1458511,0,748,0,10,30,8,1,1,3,0,1,0,0,21,612,25,1,1,149060,0
6,1048010,0,543,0,5,32,0,22,0,1,0,0,0,0,8,425,22,0,1,105381,0
7,1769374,1,1471,1,8,56,16,35,0,4,0,0,0,0,26,1200,53,0,1,297166,1
8,1996694,0,3011,2,18,124,30,60,0,6,0,0,0,0,70,2429,115,4,2,606958,1
9,1502623,1,2457,0,14,94,19,22,0,6,0,0,0,0,64,2032,108,1,1,501868,0
10,1766596,0,1584,1,14,60,13,23,0,5,0,0,0,0,32,1275,76,3,2,312025,1
11,1136642,0,637,0,5,15,6,0,0,0,0,0,0,0,21,530,33,0,0,132542,0
12,1076017,0,1050,1,12,29,6,23,0,1,0,0,0,0,31,868,49,1,1,218969,1
13,1439734,0,851,0,3,33,7,15,0,3,0,0,0,0,21,691,33,1,1,168056,0
14,1859039,1,3186,1,22,125,16,52,0,6,0,0,0,0,82,2572,147,7,2,634702,1
15,1998774,0,1419,0,18,52,11,2,0,1,0,0,0,0,32,1193,62,0,1,296385,0
16,1377692,1,3059,0,22,103,28,15,1,4,0,1,0,0,62,2588,136,2,1,647892,0
17,1403205,0,1938,1,20,70,16,34,1,4,0,1,0,0,48,1590,79,0,2,390912,1
18,1226440,0,1756,1,15,65,17,7,0,3,0,0,0,0,46,1462,61,2,2,365219,1
19,1739620,1,214,0,1,14,0,15,0,1,0,0,0,0,2,165,7,0,0,41040,0
20,1590894,0,92,0,1,5,0,3,0,0,0,0,0,0,3,73,3,0,0,18301,0
21,1265809,1,6090,0,53,213,58,38,0,21,0,0,0,0,140,5094,233,4,1,1253012,0
22,1240184,1,6502,3,42,238,62,62,1,8,0,1,0,0,177,5377,270,7,4,1326468,1
23,1257715,1,2753,1,23,103,23,27,0,2,0,0,0,0,60,2273,124,3,1,567196,1
24,1331821,1,1261,0,10,50,10,7,1,2,0,1,0,0,33,1033,61,0,1,257156,0
25,1400254,1,3151,0,36,108,32,15,1,2,0,1,0,0,63,2618,141,3,1,655315,0
26,1199908,0,1469,0,9,47,9,16,0,3,0,0,0,0,46,1220,60,1,1,304767,0
27,1678979,1,476,0,4,19,0,25,0,1,0,0,0,0,9,376,15,0,0,90646,0
28,1663893,0,3599,2,29,133,45,61,0,4,0,0,0,0,62,2945,154,5,2,734693,1
29,1066645,1,3916,0,35,139,42,3,0,5,0,0,0,0,102,3270,162,4,0,816134,0
30,1276848,1,26,0,0,0,0,4,1,0,0,1,0,0,1,18,1,0,0,4643,0
31,1350539,1,5303,2,48,215,55,66,1,14,0,1,0,0,110,4384,188,4,3,1087674,1
32,1402537,1,1200,0,8,43,6,9,0,1,0,0,0,0,34,1002,51,0,1,247269,0
33,1855851,0,81,0,0,6,0,7,0,0,0,0,0,0,3,60,1,0,0,15050,0
34,1152598,0,2123,0,9,77,8,58,0,4,0,0,0,0,45,1751,77,5,1,435257,0
35,1093591,1,4124,0,45,130,43,2,0,10,0,0,0,0,110,3433,179,3,0,851371,0
36,1169917,0,1877,1,21,60,8,30,0,4,0,0,0,0,54,1555,65,2,1,390855,1
37,1152331,1,545,0,6,30,0,33,1,0,0,1,0,0,13,409,25,1,0,101938,0
38,1606063,1,968,0,9,37,6,0,0,3,0,0,0,0,16,811,35,3,1,201017,0
39,1963506,1,2013,0,15,72,21,13,1,4,0,1,0,0,47,1681,88,1,1,415140,0
40,1321961,1,759,0,3,26,8,1,0,0,0,0,0,0,26,633,21,2,1,157672,0
41,1095752,1,413,0,3,12,3,0,1,3,0,1,0,0,15,343,16,0,0,83490,0
42,1290540,1,4408,0,40,167,35,2,0,12,0,0,0,0,91,3691,206,6,0,914654,0
43,1359371,1,889,0,5,27,7,1,0,1,0,0,0,0,21,753,39,1,0,184737,0
44,1487073,0,959,0,11,48,0,55,0,1,0,0,0,0,24,752,31,1,0,194310,0
45,1137541,0,365,0,2,17,3,8,0,2,0,0,0,0,9,291,17,1,1,72007,0
46,1366505,1,1533,1,15,44,9,19,0,2,0,0,0,0,44,1272,76,1,1,318126,1
47,1713511,0,742,0,1,35,1,47,0,1,0,0,0,0,11,589,29,0,1,147704,0
48,1763093,1,4207,2,35,143,40,14,0,6,0,0,0,0,98,3521,185,5,2,876363,1
49,1770304,0,3359,2,31,103,31,8,0,6,0,0,0,0,67,2845,135,6,2,714444,1
50,1516361,0,654,0,3,26,2,37,0,0,0,0,0,0,14,520,28,1,1,130858,0
51,1301786,1,3822,1,36,128,22,75,0,8,0,0,0,0,86,3130,170,3,2,785024,1
52,1492540,0,1879,2,15,67,13,30,0,6,0,0,0,0,40,1531,92,2,1,376052,1
53,1780917,0,994,0,7,39,0,60,1,2,0,1,0,0,25,773,40,2,0,189058,0
54,1339753,1,7235,0,63,236,70,29,0,12,0,0,0,0,173,6052,336,7,1,1504268,0
55,1463565,1,1810,0,19,74,16,13,0,3,0,0,0,0,38,1507,66,3,1,368936,0
56,1480128,0,1934,0,11,89,16,32,1,4,0,1,0,0,47,1560,78,3,1,385226,0
57,1033153,0,973,0,5,35,3,23,0,2,0,0,0,0,29,792,35,0,1,191122,0
58,1439913,0,1657,0,12,52,14,1,0,2,0,0,0,0,36,1407,69,2,0,351876,0
59,1422950,0,4448,0,39,137,47,22,1,8,0,1,0,0,118,3697,199,4,1,913297,0
60,1893149,0,2003,2,17,77,21,37,1,1,0,1,0,0,34,1649,80,0,3,407821,1
61,1884384,0,7640,3,63,284,56,160,1,19,0,1,0,0,181,6249,295,11,4,1541358,1
