userId,n_pages,thumbs_down,home,downgrade,roll_advert,about,add_playlist,nextsong,thumbs_up,error,submit_upgrade,total_length,label
1679072,1772,13,60,12,19,2,47,1460,81,0,1,356609.0,1
1141231,6191,54,211,62,34,15,133,5178,270,5,2,1277780.0,1
1163054,1063,6,28,7,17,3,16,900,40,0,1,223583.0,0
1585825,1217,14,56,8,20,4,29,982,46,2,2,244439.0,1
1367398,1681,14,53,8,40,6,37,1363,90,2,1,334897.0,0
1458511,748,10,30,8,1,3,21,612,25,1,1,149060.0,0
1048010,543,5,32,0,22,1,8,425,22,0,1,105381.0,0
1769374,1471,8,56,16,35,4,26,1200,53,0,1,297166.0,1
1996694,3011,18,124,30,60,6,70,2429,115,4,2,606958.0,1
1502623,2457,14,94,19,22,6,64,2032,108,1,1,501868.0,0
1766596,1584,14,60,13,23,5,32,1275,76,3,2,312025.0,1
1136642,637,5,15,6,0,0,21,530,33,0,0,132542.0,0
1076017,1050,12,29,6,23,1,31,868,49,1,1,218969.0,1
1439734,851,3,33,7,15,3,21,691,33,1,1,168056.0,0
1859039,3186,22,125,16,52,6,82,2572,147,7,2,634702.0,1
1998774,1419,18,52,11,2,1,32,1193,62,0,1,296385.0,0
1377692,3059,22,103,28,15,4,62,2588,136,2,1,647892.0,0
1403205,1938,20,70,16,34,4,48,1590,79,0,2,390912.0,1
1226440,1756,15,65,17,7,3,46,1462,61,2,2,365219.0,1
1739620,214,1,14,0,15,1,2,165,7,0,0,41040.0,0
1590894,92,1,5,0,3,0,3,73,3,0,0,18301.0,0
1265809,6090,53,213,58,38,21,140,5094,233,4,1,1253012.0,0
1240184,6502,42,238,62,62,8,177,5377,270,7,4,1326468.0,1
1257715,2753,23,103,23,27,2,60,2273,124,3,1,567196.0,1
1331821,1261,10,50,10,7,2,33,1033,61,0,1,257156.0,0
1400254,3151,36,108,32,15,2,63,2618,141,3,1,655315.0,0
1199908,1469,9,47,9,16,3,46,1220,60,1,1,304767.0,0
1678979,476,4,19,0,25,1,9,376,15,0,0,90646.0,0
